driver,year,round,race_name,date,constructor,grid,finish_pos,points,status,status_cat,laps,is_street,sprint_points
GAS,2024,13,Hungarian Grand Prix,2024-07-21,Alpine F1 Team,20,,0.0,Retired,Retired (cause unknown),33,0,0.0
GAS,2024,14,Belgian Grand Prix,2024-07-28,Alpine F1 Team,12,13.0,0.0,Finished,Finished,44,0,0.0
GAS,2024,15,Dutch Grand Prix,2024-08-25,Alpine F1 Team,9,9.0,2.0,Lapped,Classified,71,0,0.0
GAS,2024,16,Italian Grand Prix,2024-09-01,Alpine F1 Team,14,15.0,0.0,Lapped,Classified,52,0,0.0
GAS,2024,17,Azerbaijan Grand Prix,2024-09-15,Alpine F1 Team,18,12.0,0.0,Finished,Finished,51,1,0.0
GAS,2024,18,Singapore Grand Prix,2024-09-22,Alpine F1 Team,18,17.0,0.0,Lapped,Classified,61,1,0.0
GAS,2024,19,United States Grand Prix,2024-10-20,Alpine F1 Team,6,12.0,0.0,Finished,Finished,56,0,0.0
GAS,2024,20,Mexico City Grand Prix,2024-10-27,Alpine F1 Team,8,10.0,1.0,Lapped,Classified,70,0,0.0
GAS,2024,21,São Paulo Grand Prix,2024-11-03,Alpine F1 Team,13,3.0,15.0,Finished,Finished,69,0,2.0
GAS,2024,22,Las Vegas Grand Prix,2024-11-23,Alpine F1 Team,3,,0.0,Retired,Retired (cause unknown),15,1,0.0
GAS,2024,23,Qatar Grand Prix,2024-12-01,Alpine F1 Team,11,5.0,10.0,Finished,Finished,57,0,0.0
GAS,2024,24,Abu Dhabi Grand Prix,2024-12-08,Alpine F1 Team,5,7.0,6.0,Finished,Finished,58,0,0.0
GAS,2025,1,Australian Grand Prix,2025-03-16,Alpine F1 Team,9,11.0,0.0,Finished,Finished,57,0,0.0
GAS,2025,2,Chinese Grand Prix,2025-03-23,Alpine F1 Team,16,,0.0,Disqualified,Other DNF,0,0,0.0
GAS,2025,3,Japanese Grand Prix,2025-04-06,Alpine F1 Team,11,13.0,0.0,Finished,Finished,53,0,0.0
GAS,2025,4,Bahrain Grand Prix,2025-04-13,Alpine F1 Team,4,7.0,6.0,Finished,Finished,57,0,0.0
GAS,2025,5,Saudi Arabian Grand Prix,2025-04-20,Alpine F1 Team,9,,0.0,Retired,Retired (cause unknown),0,1,0.0
GAS,2025,6,Miami Grand Prix,2025-05-04,Alpine F1 Team,20,13.0,0.0,Finished,Finished,57,0,1.0
GAS,2025,7,Emilia Romagna Grand Prix,2025-05-18,Alpine F1 Team,10,13.0,0.0,Finished,Finished,63,0,0.0
GAS,2025,8,Monaco Grand Prix,2025-05-25,Alpine F1 Team,17,,0.0,Retired,Retired (cause unknown),7,1,0.0
GAS,2025,9,Spanish Grand Prix,2025-06-01,Alpine F1 Team,8,8.0,4.0,Finished,Finished,66,0,0.0
GAS,2025,10,Canadian Grand Prix,2025-06-15,Alpine F1 Team,20,15.0,0.0,Lapped,Classified,69,0,0.0
GAS,2025,11,Austrian Grand Prix,2025-06-29,Alpine F1 Team,10,13.0,0.0,Lapped,Classified,69,0,0.0
GAS,2025,12,British Grand Prix,2025-07-06,Alpine F1 Team,8,6.0,8.0,Finished,Finished,52,0,0.0
GAS,2025,13,Belgian Grand Prix,2025-07-27,Alpine F1 Team,13,10.0,1.0,Finished,Finished,44,0,0.0
GAS,2025,14,Hungarian Grand Prix,2025-08-03,Alpine F1 Team,16,19.0,0.0,Lapped,Classified,69,0,0.0
GAS,2025,15,Dutch Grand Prix,2025-08-31,Alpine F1 Team,14,17.0,0.0,Finished,Finished,72,0,0.0
GAS,2025,16,Italian Grand Prix,2025-09-07,Alpine F1 Team,20,16.0,0.0,Lapped,Classified,52,0,0.0
GAS,2025,17,Azerbaijan Grand Prix,2025-09-21,Alpine F1 Team,18,18.0,0.0,Lapped,Classified,50,1,0.0
GAS,2025,18,Singapore Grand Prix,2025-10-05,Alpine F1 Team,19,19.0,0.0,Lapped,Classified,61,1,0.0
GAS,2025,19,United States Grand Prix,2025-10-19,Alpine F1 Team,14,19.0,0.0,Lapped,Classified,55,0,0.0
GAS,2025,20,Mexico City Grand Prix,2025-10-26,Alpine F1 Team,18,15.0,0.0,Lapped,Classified,70,0,0.0
GAS,2025,21,São Paulo Grand Prix,2025-11-09,Alpine F1 Team,9,10.0,1.0,Finished,Finished,71,0,1.0
GAS,2025,22,Las Vegas Grand Prix,2025-11-23,Alpine F1 Team,10,13.0,0.0,Finished,Finished,50,1,0.0
GAS,2025,23,Qatar Grand Prix,2025-11-30,Alpine F1 Team,9,16.0,0.0,Lapped,Classified,56,0,0.0
GAS,2025,24,Abu Dhabi Grand Prix,2025-12-07,Alpine F1 Team,19,19.0,0.0,Lapped,Classified,57,0,0.0
GAS,2026,1,Australian Grand Prix,2026-03-08,Alpine F1 Team,14,10.0,1.0,Lapped,Classified,57,0,0.0
GAS,2026,2,Chinese Grand Prix,2026-03-15,Alpine F1 Team,7,6.0,8.0,Finished,Finished,56,0,0.0
GAS,2026,3,Japanese Grand Prix,2026-03-29,Alpine F1 Team,7,7.0,6.0,Finished,Finished,53,0,0.0
OCO,2016,13,Belgian Grand Prix,2016-08-28,Manor Marussia,17,16.0,0.0,+1 Lap,Classified,43,0,0.0
OCO,2016,14,Italian Grand Prix,2016-09-04,Manor Marussia,22,18.0,0.0,+2 Laps,Classified,51,0,0.0
OCO,2016,15,Singapore Grand Prix,2016-09-18,Manor Marussia,21,18.0,0.0,+2 Laps,Classified,59,1,0.0
OCO,2016,16,Malaysian Grand Prix,2016-10-02,Manor Marussia,20,16.0,0.0,+1 Lap,Classified,55,0,0.0
OCO,2016,17,Japanese Grand Prix,2016-10-09,Manor Marussia,20,21.0,0.0,+1 Lap,Classified,52,0,0.0
OCO,2016,18,United States Grand Prix,2016-10-23,Manor Marussia,22,18.0,0.0,+2 Laps,Classified,54,0,0.0
OCO,2016,19,Mexican Grand Prix,2016-10-30,Manor Marussia,20,21.0,0.0,+2 Laps,Classified,69,0,0.0
OCO,2016,20,Brazilian Grand Prix,2016-11-13,Manor Marussia,22,12.0,0.0,Finished,Finished,71,0,0.0
OCO,2016,21,Abu Dhabi Grand Prix,2016-11-27,Manor Marussia,20,13.0,0.0,+1 Lap,Classified,54,0,0.0
OCO,2017,1,Australian Grand Prix,2017-03-26,Force India,13,10.0,1.0,+1 Lap,Classified,56,0,0.0
